accessible,positive
active,positive
adaptable,positive
admierable,positive
adventurous,positive
agreeable,positive
alert,positive
allocentric,positive
amiable,positive
anticipative,positive
appreciative,positive
articulate,positive
aspiring,positive
athletic,positive
attractive,positive
balanced,positive
benevolent,positive
brilliant,positive
calm,positive
capable,positive
captivating,positive
caring,positive
challenging,positive
charismatic,positive
charming,positive
cheerful,positive
clean,positive
clear-headed,positive
clever,positive
colorful,positive
companionly,positive
compassionate,positive
conciliatory,positive
confident,positive
conscientious,positive
considerate,positive
constant,positive
contemplative,positive
cooperative,positive
courageous,positive
courteous,positive
creative,positive
cultured,positive
curious,positive
daring,positive
debonair,positive
decent,positive
decisive,positive
dedicated,positive
deep,positive
dignified,positive
directed,positive
disciplined,positive
discreet,positive
dramatic,positive
dutiful,positive
dynamic,positive
earnest,positive
ebullient,positive
educated,positive
efficient,positive
elegant,positive
eloquent,positive
empathetic,positive
energetic,positive
enthusiastic,positive
esthetic,positive
exciting,positive
extraordinary,positive
fair,positive
faithful,positive
farsighted,positive
felicific,positive
firm,positive
flexible,positive
focused,positive
forceful,positive
forgiving,positive
forthright,positive
freethinking,positive
friendly,positive
fun-loving,positive
gallant,positive
generous,positive
gentle,positive
genuine,positive
good-natured,positive
gracious,positive
hardworking,positive
healthy,positive
hearty,positive
helpful,positive
heroic,positive
high-minded,positive
honest,positive
honorable,positive
humble,positive
humorous,positive
idealistic,positive
imaginative,positive
impressive,positive
incisive,positive
incorruptible,positive
independent,positive
individualistic,positive
innovative,positive
inoffensive,positive
insightful,positive
insouciant,positive
intelligent,positive
intuitive,positive
invulnerable,positive
kind,positive
knowledge,positive
leaderly,positive
leisurely,positive
liberal,positive
logical,positive
lovable,positive
loyal,positive
lyrical,positive
magnanimous,positive
many-sided,positive
masculine (manly),positive
mature,positive
methodical,positive
meticulous,positive
moderate,positive
modest,positive
multi-leveled,positive
neat,positive
nonauthoritarian,positive
objective,positive
observant,positive
open,positive
optimistic,positive
orderly,positive
organized,positive
original,positive
painstaking,positive
passionate,positive
patient,positive
patriotic,positive
peaceful,positive
perceptive,positive
perfectionist,positive
personable,positive
persuasive,positive
planful,positive
playful,positive
polished,positive
popular,positive
practical,positive
precise,positive
principled,positive
profound,positive
protean,positive
protective,positive
providential,positive
prudent,positive
punctual,positive
purposeful,positive
rational,positive
realistic,positive
reflective,positive
relaxed,positive
reliable,positive
resourceful,positive
respectful,positive
responsible,positive
responsive,positive
reverential,positive
romantic,positive
rustic,positive
sage,positive
sane,positive
scholarly,positive
scrupulous,positive
secure,positive
selfless,positive
self-critical,positive
self-defacing,positive
self-denying,positive
self-reliant,positive
self-sufficient,positive
sensitive,positive
sentimental,positive
seraphic,positive
serious,positive
sexy,positive
sharing,positive
shrewd,positive
simple,positive
skillful,positive
sober,positive
sociable,positive
solid,positive
sophisticated,positive
spontaneous,positive
sporting,positive
stable,positive
steadfast,positive
steady,positive
stoic,positive
strong,positive
studious,positive
suave,positive
suble,positive
sweet,positive
sympathetic,positive
systematic,positive
tasteful,positive
teacherly,positive
thorough,positive
tidy,positive
tolerant,positive
tractable,positive
trusting,positive
uncomplainig,positive
understanding,positive
undogmatic,positive
unfoolable,positive
upright,positive
urbane,positive
venturesome,positive
vivacious,positive
warm,positive
well-bred,positive
well-read,positive
well-rounded,positive
winning,positive
wise,positive
witty,positive
youthful,positive
absentminded,neutral
aggressive,neutral
ambitious,neutral
amusing,neutral
artful,neutral
ascetic,neutral
authoritarian,neutral
big-thinking,neutral
boyish,neutral
breezy,neutral
businesslike,neutral
busy,neutral
casual,neutral
crebral,neutral
chummy,neutral
circumspect,neutral
competitive,neutral
complex,neutral
confidential,neutral
conservative,neutral
contradictory,neutral
crisp,neutral
cute,neutral
deceptive,neutral
determined,neutral
dominating,neutral
dreamy,neutral
driving,neutral
droll,neutral
dry,neutral
earthy,neutral
effeminate,neutral
emotional,neutral
enigmatic,neutral
experimental,neutral
familial,neutral
folksy,neutral
formal,neutral
freewheeling,neutral
frugal,neutral
glamorous,neutral
guileless,neutral
high,neutral-spirited
huried,neutral
hypnotic,neutral
iconoclastic,neutral
idiosyncratic,neutral
impassive,neutral
impersonal,neutral
impressionable,neutral
intense,neutral
invisible,neutral
irreligious,neutral
irreverent,neutral
maternal,neutral
mellow,neutral
modern,neutral
moralistic,neutral
mystical,neutral
neutral,neutral
noncommittal,neutral
noncompetitive,neutral
obedient,neutral
old,neutral-fashined
ordinary,neutral
outspoken,neutral
paternalistic,neutral
physical,neutral
placid,neutral
political,neutral
predictable,neutral
preoccupied,neutral
private,neutral
progressive,neutral
proud,neutral
pure,neutral
questioning,neutral
quiet,neutral
religious,neutral
reserved,neutral
restrained,neutral
retiring,neutral
sarcastic,neutral
self-conscious,neutral
sensual,neutral
skeptical,neutral
smooth,neutral
soft,neutral
solemn,neutral
solitary,neutral
stern,neutral
stoiid,neutral
strict,neutral
stubborn,neutral
stylish,neutral
subjective,neutral
surprising,neutral
soft,neutral
tough,neutral
unaggressive,neutral
unambitious,neutral
unceremonious,neutral
unchanging,neutral
undemanding,neutral
unfathomable,neutral
unhurried,neutral
uninhibited,neutral
unpatriotic,neutral
unpredicatable,neutral
unreligious,neutral
unsentimental,neutral
whimsical,neutral
abrasive,negative
abrupt,negative
agonizing,negative
aimless,negative
airy,negative
aloof,negative
amoral,negative
angry,negative
anxious,negative
apathetic,negative
arbitrary,negative
argumentative,negative
arrogantt,negative
artificial,negative
asocial,negative
assertive,negative
astigmatic,negative
barbaric,negative
bewildered,negative
bizarre,negative
bland,negative
blunt,negative
biosterous,negative
brittle,negative
brutal,negative
calculating,negative
callous,negative
cantakerous,negative
careless,negative
cautious,negative
charmless,negative
childish,negative
clumsy,negative
coarse,negative
cold,negative
colorless,negative
complacent,negative
complaintive,negative
compulsive,negative
conceited,negative
condemnatory,negative
conformist,negative
confused,negative
contemptible,negative
conventional,negative
cowardly,negative
crafty,negative
crass,negative
crazy,negative
criminal,negative
critical,negative
crude,negative   
cruel,negative
cynical,negative
decadent,negative
deceitful,negative
delicate,negative
demanding,negative
dependent,negative
desperate,negative
destructive,negative
devious,negative
difficult,negative
dirty,negative
disconcerting,negative
discontented,negative
discouraging,negative
discourteous,negative
dishonest,negative
disloyal,negative
disobedient,negative
disorderly,negative
disorganized,negative
disputatious,negative
disrespectful,negative
disruptive,negative
dissolute,negative
dissonant,negative
distractible,negative
disturbing,negative
dogmatic,negative
domineering,negative
dull,negative
easily Discouraged,negative
egocentric,negative
enervated,negative
envious,negative
erratic,negative
escapist,negative
excitable,negative
expedient,negative
extravagant,negative
extreme,negative
faithless,negative
false,negative
fanatical,negative
fanciful,negative
fatalistic,negative
fawning,negative
fearful,negative
fickle,negative
fiery,negative
fixed,negative
flamboyant,negative
foolish,negative
forgetful,negative
fraudulent,negative
frightening,negative
frivolous,negative
gloomy,negative
graceless,negative
grand,negative
greedy,negative
grim,negative
gullible,negative
hateful,negative
haughty,negative
hedonistic,negative
hesitant,negative
hidebound,negative
high-handed,negative
hostile,negative
ignorant,negative
imitative,negative
impatient,negative
impractical,negative
imprudent,negative
impulsive,negative
inconsiderate,negative
incurious,negative
indecisive,negative
indulgent,negative
inert,negative
inhibited,negative
insecure,negative
insensitive,negative
insincere,negative
insulting,negative
intolerant,negative
irascible,negative
irrational,negative
irresponsible,negative
irritable,negative
lazy,negative
libidinous,negative
loquacious,negative
malicious,negative
mannered,negative
mannerless,negative
mawkish,negative
mealymouthed,negative
mechanical,negative
meddlesome,negative
melancholic,negative
meretricious,negative
messy,negative
miserable,negative
miserly,negative
misguided,negative
mistaken,negative
money-minded,negative
monstrous,negative
moody,negative
morbid,negative
muddle-headed,negative
naive,negative
narcissistic,negative
narrow,negative
narrow-minded,negative
natty,negative
negativistic,negative
